,player,position,team,age,birth_year,minutes_90s,tackles,dribble_tackles,dribbles_vs,dribbled_past,blocks,blocked_shots,interceptions,clearances,errors,club,games,goals,assists,pens_made,cards_yellow,xg,npxg,passes_completed,pass_xa,assisted_shots,crosses_into_penalty_area,progressive_passes,sca,gca,shots,average_shot_distance,through_balls,throw_ins,corner_kicks,touches,miscontrols,dispossessed,gk_goals_against,fouls,fouled,offsides,own_goals,ball_recoveries,aerials_won,unused_subs,points_per_game,on_goals_for,plus_minus
count,829,680,829,680,680.0,680.0,677.0,677.0,677.0,677.0,677.0,677.0,680.0,677.0,677.0,679,680.0,680.0,680.0,680.0,680.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,677.0,680.0,429.0,677.0,677.0,677.0,677.0,677.0,677.0,41.0,680.0,680.0,680.0,680.0,677.0,677.0,829.0,681.0,681.0,681.0
unique,829,4,32,634,,,,,,,,,,,,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,Aaron Mooy,DF,Australia,29-288,,,,,,,,,,,,Bayern Munich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1,228,26,4,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,,1994.9132352941176,2.1242647058823527,3.054652880354505,1.3116691285081241,2.400295420974889,1.0886262924667651,2.1152141802067947,0.5391432791728212,1.5705882352941176,3.5480059084194977,0.0620384047267356,,2.9338235294117645,0.25,0.17794117647058824,0.025,0.3323529411764706,0.25627769571639586,0.22850812407680948,82.4711964549483,0.15494830132939438,1.586410635155096,0.3722304283604136,5.13589364844904,3.7607090103397343,0.4298375184638109,2.1073529411764707,17.657342657342657,0.22304283604135894,3.844903988183161,0.843426883308715,121.40768094534712,2.917282127031019,1.7474150664697194,4.195121951219512,2.351470588235294,2.238235294117647,0.3735294117647059,0.0029411764705882353,9.576070901033974,2.553914327917282,1.4897466827503016,1.2445374449339206,2.7856093979442,0.0
std,,,,,4.156348105773461,1.642302360477406,3.552434335664958,1.8760550538079481,2.8896161629881116,1.476984384971525,2.3681232719767613,1.0492408520141476,2.0824718251071404,5.022978236746501,0.27031207857709777,,1.5206105174689908,0.6987259603016127,0.48765181941270747,0.2122014492905298,0.5651752179127573,0.5366533097280032,0.42030524482146725,90.04713335438016,0.2860047253885776,2.3921082583960787,0.8304468142640241,6.510289737181081,4.891006548624825,0.9420464960816088,3.031781395805114,7.32112060689638,0.5925081226289544,8.86208556326949,2.847038129165303,114.23106371406669,3.384477226007508,2.43550171506656,2.6383660871372836,2.6143927364833557,2.891103076517178,0.8642153850914865,0.05419266408868603,9.207127765981507,3.339578448185393,1.6518043299521017,0.8626336889528518,3.188835988095105,2.9195084195399583
min,,,,,1983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0
25%,,,,,1992.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,34.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.5,0.0,-2.0
50%,,,,,1995.0,1.9,2.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.1,0.1,52.0,0.1,1.0,0.0,3.0,2.0,0.0,1.0,16.7,0.0,0.0,0.0,88.0,2.0,1.0,4.0,2.0,1.0,0.0,0.0,7.0,1.0,1.0,1.33,2.0,0.0
75%,,,,,1998.0,3.0,4.0,2.0,3.0,2.0,3.0,1.0,2.0,5.0,0.0,,4.0,0.0,0.0,0.0,1.0,0.3,0.3,110.0,0.2,2.0,0.0,7.0,5.0,1.0,3.0,22.6,0.0,2.0,0.0,171.0,4.0,3.0,6.0,3.0,3.0,0.0,0.0,14.0,4.0,3.0,1.8,4.0,1.0
max,,,,,2004.0,7.7,26.0,17.0,28.0,11.0,13.0,7.0,14.0,37.0,3.0,,7.0,8.0,3.0,4.0,3.0,6.6,3.6,642.0,3.6,21.0,6.0,61.0,46.0,11.0,29.0,46.6,4.0,67.0,28.0,710.0,21.0,24.0,11.0,17.0,22.0,7.0,1.0,57.0,21.0,7.0,3.0,16.0,11.0
